,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,id_mix
0,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,B,F_458989
1,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,A,M_458994
2,Yes,69,No,,0.0,Low,1.0,Cat_6,A,F_458996
3,Yes,59,No,Executive,11.0,High,2.0,Cat_6,B,M_459000
4,No,19,No,Marketing,,Low,4.0,Cat_6,A,F_459001
5,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,C,M_459003
6,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,D,M_459005
7,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,D,F_459008
8,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,B,M_459013
9,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,B,M_459014
10,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,D,M_459015
11,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,D,F_459016
12,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,A,M_459024
13,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,D,M_459026
14,No,18,No,Doctor,0.0,Low,3.0,Cat_6,D,M_459032
15,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,C,F_459033
16,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,D,F_459036
17,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,B,M_459039
18,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,B,M_459041
19,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,C,F_459045
20,Yes,63,No,Executive,,High,3.0,Cat_6,A,M_459056
21,Yes,69,No,Lawyer,,High,,Cat_6,D,M_459057
22,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,A,M_459058
23,Yes,79,No,Executive,,High,2.0,Cat_6,B,M_459059
24,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,B,F_459061
25,Yes,27,No,Executive,5.0,High,4.0,Cat_6,B,M_459064
26,Yes,52,Yes,Engineer,,Low,2.0,Cat_6,A,M_459065
27,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,B,F_459074
28,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,A,F_459077
29,Yes,87,Yes,Lawyer,,High,2.0,Cat_6,C,M_459079
30,Yes,89,No,Lawyer,1.0,Low,2.0,Cat_6,C,M_459080
31,Yes,63,Yes,Artist,9.0,Average,3.0,,A,M_459083
32,No,31,No,Artist,1.0,Low,2.0,Cat_6,B,M_459090
33,Yes,72,Yes,Artist,1.0,Average,6.0,Cat_1,D,M_459091
34,Yes,41,Yes,Doctor,9.0,Average,2.0,,D,F_459093
35,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,C,F_459100
36,Yes,62,Yes,Artist,0.0,Low,2.0,Cat_6,A,M_459106
37,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,B,M_459114
38,Yes,60,Yes,Artist,2.0,Average,5.0,Cat_6,C,M_459116
39,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,B,M_459117
40,No,19,No,Healthcare,,Low,8.0,Cat_6,A,M_459118
41,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,D,M_459119
42,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,A,M_459120
43,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,C,F_459121
44,Yes,86,No,Artist,1.0,High,2.0,Cat_6,A,F_459123
45,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,C,F_459130
46,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,B,M_459132
47,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,D,M_459136
48,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,D,F_459140
49,Yes,50,No,Artist,0.0,High,4.0,Cat_6,B,M_459143
50,Yes,80,Yes,Lawyer,,High,2.0,Cat_6,B,M_459144
51,Yes,78,No,Lawyer,,Low,1.0,Cat_2,C,M_459145
52,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,A,F_459150
53,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,B,M_459160
54,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,D,M_459161
55,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,C,F_459162
56,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,A,M_459163
57,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,D,F_459167
58,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,B,F_459170
59,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,D,M_459171
60,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,C,M_459172
61,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,C,F_459175
62,Yes,62,No,Artist,1.0,High,3.0,Cat_6,A,M_459181
63,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,A,F_459182
64,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,A,M_459184
65,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,D,F_459185
66,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,C,M_459193
67,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,A,F_459194
68,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,B,F_459196
69,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3,B,F_459208
70,No,18,No,Entertainment,0.0,Low,4.0,Cat_6,D,F_459209
71,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C,F_459210
72,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6,C,F_459212
73,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6,D,F_459213
74,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,B,F_459216
75,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,D,F_459220
76,Yes,69,No,Entertainment,,Low,1.0,Cat_6,B,M_459221
77,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6,A,F_459222
78,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,C,F_459223
79,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,D,F_459224
80,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,A,F_459227
81,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6,D,F_459229
82,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,D,F_459236
83,No,33,Yes,Artist,1.0,Low,6.0,Cat_6,D,M_459237
84,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,D,M_459244
85,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6,A,M_459247
86,Yes,83,Yes,Lawyer,1.0,High,,Cat_6,C,F_459258
87,No,30,No,Healthcare,9.0,Low,4.0,Cat_6,A,F_459263
88,No,35,Yes,Artist,0.0,Low,2.0,Cat_6,D,F_459264
89,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,D,M_459266
90,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6,B,M_459270
91,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,C,F_459284
92,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4,C,M_459287
93,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,A,M_459288
94,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,B,M_459289
95,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,C,F_459290
96,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B,M_459292
97,No,21,No,Healthcare,,Low,,Cat_1,C,M_459293
98,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6,B,M_459296
99,Yes,61,Yes,Artist,1.0,Low,,Cat_6,B,F_459300
100,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,C,M_459307
101,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,B,M_459310
102,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,A,M_459316
